alpha coal mu x0 cdf cdfLow cdfHigh
2.05 1 148.413 0 0.847617 0.844578 0.85056
2.05 1 403.429 0 0.894133 0.891604 0.89669
2.05 1 1096.63 0 0.928943 0.926757 0.931099
2.05 1 2980.96 0 0.953897 0.952154 0.955664
2.05 1 8103.08 0 0.970155 0.968731 0.97158
2.05 1 22026.5 0 0.98069 0.979536 0.98187
2.05 1 59874.1 0 0.98786 0.986925 0.988761
2.05 1 162755 0 0.993052 0.992376 0.993733
2.05 1 442413 0 0.996085 0.995593 0.996578
2.05 1 1.2026e+06 0 0.997837 0.997462 0.998217
